,state_in,input_in,state_pred,state_out,timestamp,dt
20,"[-1.69267, -0.660864, 3.65009, 0.527001, -0.584811, 0.566415, 0.243802, 14.4799, -3.23351, 2.00191, -5.96197, -1.75722, 0.109627]","[0.8433623529411766, 0.8400988235294118, 0.8769741176470588, 0.8791623529411765]","[-0.810453, -0.791258, 3.72956, 0.447825, -0.647764, 0.485613, 0.379519, 14.7809, -1.14631, 0.681248, -5.85136, -2.32496, 0.374239]","[-0.819318, -0.784697, 3.72662, 0.447825, -0.647764, 0.485613, 0.379519, 14.4799, -0.934865, 0.589306, -5.85136, -2.32496, 0.374239]",1.26,0.06000000000000005
21,"[-0.819318, -0.784697, 3.72662, 0.447825, -0.647764, 0.485613, 0.379519, 14.4799, -0.934865, 0.589306, -5.85136, -2.32496, 0.374239]","[0.793164705882353, 0.7929282352941176, 0.8259211764705883, 0.8247317647058824]","[0.0382539, -0.780169, 3.72546, 0.363023, -0.675663, 0.391817, 0.508108, 13.9984, 1.00934, -0.57032, -5.31397, -2.58123, 0.621284]","[0.0275645, -0.774707, 3.72356, 0.363023, -0.675663, 0.391817, 0.508108, 13.6404, 1.17847, -0.625222, -5.31397, -2.58123, 0.621284]",1.32,0.06000000000000005
22,"[0.0275645, -0.774707, 3.72356, 0.363023, -0.675663, 0.391817, 0.508108, 13.6404, 1.17847, -0.625222, -5.31397, -2.58123, 0.621284]","[0.7359023529411765, 0.7384211764705882, 0.766744705882353, 0.7620929411764705]","[0.816468, -0.65348, 3.65746, 0.279081, -0.671499, 0.300548, 0.61715, 12.6042, 2.76792, -1.5146, -4.47142, -2.52725, 0.831841]","[0.804793, -0.650103, 3.65701, 0.279081, -0.671499, 0.300548, 0.61715, 12.2205, 2.86607, -1.5215, -4.47142, -2.52725, 0.831841]",1.38,0.05999999999999983
23,"[0.804793, -0.650103, 3.65701, 0.279081, -0.671499, 0.300548, 0.61715, 12.2205, 2.86607, -1.5215, -4.47142, -2.52725, 0.831841]","[0.6758788235294118, 0.6800694117647059, 0.7035741176470589, 0.6966094117647058]","[1.49879, -0.440529, 3.54592, 0.201153, -0.645449, 0.22319, 0.702225, 10.9088, 4.0316, -2.12719, -3.57845, -2.28854, 0.996813]","[1.48735, -0.439441, 3.54685, 0.201153, -0.645449, 0.22319, 0.702225, 10.5385, 4.05621, -2.09061, -3.57845, -2.28854, 0.996813]",1.44,0.06000000000000005
24,"[1.48735, -0.439441, 3.54685, 0.201153, -0.645449, 0.22319, 0.702225, 10.5385, 4.05621, -2.09061, -3.57845, -2.28854, 0.996813]","[0.6157094117647058, 0.6201235294117646, 0.6388811764705882, 0.631104705882353]","[2.07792, -0.170534, 3.40909, 0.129773, -0.607631, 0.161797, 0.766658, 9.17369, 4.83657, -2.46127, -2.93229, -2.06664, 1.11764]","[2.06757, -0.171318, 3.41102, 0.129773, -0.607631, 0.161797, 0.766658, 8.84176, 4.80282, -2.39372, -2.93229, -2.06664, 1.11764]",1.5,0.06000000000000005
25,"[2.06757, -0.171318, 3.41102, 0.129773, -0.607631, 0.161797, 0.766658, 8.84176, 4.80282, -2.39372, -2.93229, -2.06664, 1.11764]","[0.5562411764705882, 0.5595741176470588, 0.5737823529411765, 0.5661447058823529]","[2.55839, 0.132518, 3.26061, 0.0616022, -0.561994, 0.110264, 0.817441, 7.56045, 5.27117, -2.59196, -2.66929, -2.05422, 1.20278]","[2.54947, 0.130421, 3.26319, 0.0616022, -0.561994, 0.110264, 0.817441, 7.27617, 5.19707, -2.50521, -2.66929, -2.05422, 1.20278]",1.56,0.06000000000000005
26,"[2.54947, 0.130421, 3.26319, 0.0616022, -0.561994, 0.110264, 0.817441, 7.27617, 5.19707, -2.50521, -2.66929, -2.05422, 1.20278]","[0.4972941176470589, 0.4988082352941176, 0.5089047058823529, 0.5016117647058823]","[2.95094, 0.450097, 3.11005, -0.00666408, -0.505382, 0.0611411, 0.860701, 6.15522, 5.41865, -2.57976, -2.66541, -2.33208, 1.2629]","[2.9435, 0.447144, 3.113, -0.00666408, -0.505382, 0.0611411, 0.860701, 5.91892, 5.3185, -2.48171, -2.66541, -2.33208, 1.2629]",1.62,0.06000000000000005
27,"[2.9435, 0.447144, 3.113, -0.00666408, -0.505382, 0.0611411, 0.860701, 5.91892, 5.3185, -2.48171, -2.66541, -2.33208, 1.2629]","[0.4397329411764706, 0.43937764705882354, 0.4459294117647059, 0.43871058823529413]","[3.2697, 0.768037, 2.96417, -0.0752598, -0.431442, 0.0125122, 0.898909, 5.00702, 5.35069, -2.46624, -2.6447, -2.8463, 1.30577]","[3.26365, 0.764569, 2.96733, -0.0752598, -0.431442, 0.0125122, 0.898909, 4.81581, 5.23524, -2.36172, -2.6447, -2.8463, 1.30577]",1.68,0.05999999999999983
28,"[3.26365, 0.764569, 2.96733, -0.0752598, -0.431442, 0.0125122, 0.898909, 4.81581, 5.23524, -2.36172, -2.6447, -2.8463, 1.30577]","[0.38542235294117644, 0.3834282352941176, 0.3868764705882353, 0.37944941176470587]","[3.53085, 1.07627, 2.82769, -0.141525, -0.3365, -0.0303194, 0.930494, 4.14296, 5.14106, -2.28632, -2.38998, -3.42517, 1.33204]","[3.52608, 1.07257, 2.83096, -0.141525, -0.3365, -0.0303194, 0.930494, 3.99294, 5.01932, -2.1791, -2.38998, -3.42517, 1.33204]",1.74,0.06000000000000005
29,"[3.52608, 1.07257, 2.83096, -0.141525, -0.3365, -0.0303194, 0.930494, 3.99294, 5.01932, -2.1791, -2.38998, -3.42517, 1.33204]","[0.3370152941176471, 0.3337435294117647, 0.3342258823529412, 0.32644823529411765]","[3.75137, 1.36923, 2.70328, -0.202213, -0.224337, -0.0590169, 0.951472, 3.56306, 4.86786, -2.07682, -1.86687, -3.82443, 1.33589]","[3.74773, 1.36554, 2.70652, -0.202213, -0.224337, -0.0590169, 0.951472, 3.44918, 4.74778, -1.97127, -1.86687, -3.82443, 1.33589]",1.8,0.06000000000000005
30,"[3.74773, 1.36554, 2.70652, -0.202213, -0.224337, -0.0590169, 0.951472, 3.44918, 4.74778, -1.97127, -1.86687, -3.82443, 1.33589]","[0.2971035294117647, 0.29332, 0.29073529411764704, 0.28263176470588236]","[3.94721, 1.64576, 2.59128, -0.255386, -0.106823, -0.0684462, 0.958479, 3.23636, 4.6004, -1.87506, -1.19721, -3.8345, 1.3112]","[3.94449, 1.64229, 2.59433, -0.255386, -0.106823, -0.0684462, 0.958479, 3.15132, 4.48815, -1.77656, -1.19721, -3.8345, 1.3112]",1.86,0.06000000000000005
31,"[3.94449, 1.64229, 2.59433, -0.255386, -0.106823, -0.0684462, 0.958479, 3.15132, 4.48815, -1.77656, -1.19721, -3.8345, 1.3112]","[0.26654, 0.2634023529411764, 0.2575717647058824, 0.24937764705882354]","[4.13154, 1.90816, 2.48993, -0.300882, 0.000552411, -0.0602534, 0.951756, 3.10808, 4.38513, -1.71086, -0.561045, -3.39499, 1.25761]","[4.12946, 1.905, 2.49264, -0.300882, 0.000552411, -0.0602534, 0.951756, 3.04209, 4.28356, -1.62433, -0.561045, -3.39499, 1.25761]",1.92,0.05999999999999983
32,"[4.12946, 1.905, 2.49264, -0.300882, 0.000552411, -0.0602534, 0.951756, 3.04209, 4.28356, -1.62433, -0.561045, -3.39499, 1.25761]","[0.24506823529411761, 0.2435447058823529, 0.23448235294117648, 0.22657058823529413]","[4.31375, 2.16041, 2.39615, -0.339817, 0.0854269, -0.0416079, 0.935679, 3.11457, 4.24085, -1.59925, -0.0885605, -2.62479, 1.18122]","[4.31199, 2.15757, 2.39843, -0.339817, 0.0854269, -0.0416079, 0.935679, 3.05733, 4.14895, -1.52667, -0.0885605, -2.62479, 1.18122]",1.98,0.06000000000000005
33,"[4.31199, 2.15757, 2.39843, -0.339817, 0.0854269, -0.0416079, 0.935679, 3.05733, 4.14895, -1.52667, -0.0885605, -2.62479, 1.18122]","[0.23141176470588237, 0.23171411764705882, 0.21974000000000002, 0.21260235294117646]","[4.49948, 2.4067, 2.30661, -0.373704, 0.143027, -0.0209493, 0.916215, 3.19827, 4.16385, -1.5391, 0.177922, -1.75339, 1.09062]","[4.49777, 2.40407, 2.30851, -0.373704, 0.143027, -0.0209493, 0.916215, 3.14207, 4.07832, -1.47863, 0.177922, -1.75339, 1.09062]",2.04,0.06000000000000005
34,"[4.49777, 2.40407, 2.30851, -0.373704, 0.143027, -0.0209493, 0.916215, 3.14207, 4.07832, -1.47863, 0.177922, -1.75339, 1.09062]","[0.22373294117647058, 0.22522941176470587, 0.2108576470588235, 0.20505294117647058]","[4.69153, 2.65041, 2.2187, -0.403684, 0.176242, -0.00416743, 0.897753, 3.31726, 4.13836, -1.51758, 0.271331, -1.00821, 0.992814]","[4.68975, 2.64789, 2.22033, -0.403684, 0.176242, -0.00416743, 0.897753, 3.2583, 4.05599, -1.46527, 0.271331, -1.00821, 0.992814]",2.1,0.06000000000000005
35,"[4.68975, 2.64789, 2.22033, -0.403684, 0.176242, -0.00416743, 0.897753, 3.2583, 4.05599, -1.46527, 0.271331, -1.00821, 0.992814]","[0.22044, 0.22210117647058825, 0.20598470588235293, 0.20189764705882352]","[4.89098, 2.89389, 2.13085, -0.43027, 0.192165, 0.0066541, 0.881984, 3.44724, 4.14678, -1.51784, 0.260739, -0.496906, 0.891878]","[4.88908, 2.89142, 2.13233, -0.43027, 0.192165, 0.0066541, 0.881984, 3.38451, 4.06559, -1.46982, 0.260739, -0.496906, 0.891878]",2.16,0.06000000000000005
36,"[4.88908, 2.89142, 2.13233, -0.43027, 0.192165, 0.0066541, 0.881984, 3.38451, 4.06559, -1.46982, 0.260739, -0.496906, 0.891878]","[0.22024, 0.22143176470588233, 0.20423529411764707, 0.20176941176470586]","[5.09803, 3.13863, 2.04245, -0.453563, 0.198069, 0.0120315, 0.868852, 3.5775, 4.17549, -1.5248, 0.200711, -0.202741, 0.78978]","[5.09603, 3.13616, 2.04387, -0.453563, 0.198069, 0.0120315, 0.868852, 3.51114, 4.09452, -1.47842, 0.200711, -0.202741, 0.78978]",2.22,0.06000000000000005
37,"[5.09603, 3.13616, 2.04387, -0.453563, 0.198069, 0.0120315, 0.868852, 3.51114, 4.09452, -1.47842, 0.200711, -0.202741, 0.78978]","[0.22234941176470588, 0.22298470588235295, 0.2052658823529412, 0.2039505882352941]","[5.31262, 3.38549, 1.95364, -0.473509, 0.19922, 0.0130087, 0.857865, 3.70546, 4.21574, -1.52715, 0.107223, -0.0440619, 0.68796]","[5.31051, 3.38301, 1.95504, -0.473509, 0.19922, 0.0130087, 0.857865, 3.63581, 4.13452, -1.48105, 0.107223, -0.0440619, 0.68796]",2.28,0.05999999999999961
38,"[5.31051, 3.38301, 1.95504, -0.473509, 0.19922, 0.0130087, 0.857865, 3.63581, 4.13452, -1.48105, 0.107223, -0.0440619, 0.68796]","[0.22635882352941178, 0.22666823529411764, 0.20893529411764705, 0.20816117647058824]","[5.53464, 3.63495, 1.86501, -0.489979, 0.198395, 0.00952005, 0.848804, 3.83272, 4.26163, -1.51703, -0.0340005, 0.0810114, 0.588056]","[5.53244, 3.63246, 1.86642, -0.489979, 0.198395, 0.00952005, 0.848804, 3.76005, 4.17986, -1.47077, -0.0340005, 0.0810114, 0.588056]",2.34,0.06000000000000005
39,"[5.53244, 3.63246, 1.86642, -0.489979, 0.198395, 0.00952005, 0.848804, 3.76005, 4.17986, -1.47077, -0.0340005, 0.0810114, 0.588056]","[0.2318858823529412, 0.2322635294117647, 0.21497764705882352, 0.21413882352941174]","[5.76419, 3.88714, 1.7775, -0.502743, 0.196488, -0.000123138, 0.841809, 3.96296, 4.30677, -1.48974, -0.246245, 0.241181, 0.491471]","[5.7619, 3.88463, 1.77892, -0.502743, 0.196488, -0.000123138, 0.841809, 3.88745, 4.2242, -1.44332, -0.246245, 0.241181, 0.491471]",2.4,0.06000000000000005
40,"[5.7619, 3.88463, 1.77892, -0.502743, 0.196488, -0.000123138, 0.841809, 3.88745, 4.2242, -1.44332, -0.246245, 0.241181, 0.491471]","[0.2382670588235294, 0.2389564705882353, 0.22246117647058822, 0.22119882352941178]","[6.00161, 4.14174, 1.69224, -0.51146, 0.193238, -0.0184944, 0.837094, 4.1016, 4.34165, -1.44256, -0.522382, 0.471868, 0.39894]","[5.99924, 4.1392, 1.69366, -0.51146, 0.193238, -0.0184944, 0.837094, 4.02339, 4.25816, -1.3961, -0.522382, 0.471868, 0.39894]",2.46,0.06000000000000005
41,"[5.99924, 4.1392, 1.69366, -0.51146, 0.193238, -0.0184944, 0.837094, 4.02339, 4.25816, -1.3961, -0.522382, 0.471868, 0.39894]","[0.24529411764705883, 0.24644470588235295, 0.23093411764705882, 0.22914705882352943]","[6.24761, 4.39772, 1.61046, -0.515723, 0.187294, -0.0478715, 0.834661, 4.25522, 4.35233, -1.37414, -0.819453, 0.79191, 0.310544]","[6.24516, 4.39515, 1.61188, -0.515723, 0.187294, -0.0478715, 0.834661, 4.17443, 4.26788, -1.32768, -0.819453, 0.79191, 0.310544]",2.52,0.06000000000000005
42,"[6.24516, 4.39515, 1.61188, -0.515723, 0.187294, -0.0478715, 0.834661, 4.17443, 4.26788, -1.32768, -0.819453, 0.79191, 0.310544]","[0.2527423529411765, 0.2544588235294118, 0.24004352941176468, 0.23779176470588237]","[6.50328, 4.65308, 1.53342, -0.515015, 0.176445, -0.0892671, 0.834061, 4.42965, 4.31996, -1.28512, -1.08281, 1.18778, 0.22595]","[6.50075, 4.65048, 1.53484, -0.515015, 0.176445, -0.0892671, 0.834061, 4.34634, 4.23468, -1.23855, -1.08281, 1.18778, 0.22595]",2.58,0.06000000000000005
43,"[6.50075, 4.65048, 1.53484, -0.515015, 0.176445, -0.0892671, 0.834061, 4.34634, 4.23468, -1.23855, -1.08281, 1.18778, 0.22595]","[0.2604894117647059, 0.2626635294117647, 0.24942705882352942, 0.2469564705882353]","[6.76998, 4.90456, 1.46227, -0.508675, 0.158416, -0.141864, 0.834284, 4.62735, 4.2219, -1.1794, -1.26815, 1.61459, 0.144903]","[6.76738, 4.90194, 1.4637, -0.508675, 0.158416, -0.141864, 0.834284, 4.5415, 4.13605, -1.13253, -1.26815, 1.61459, 0.144903]",2.64,0.06000000000000005
44,"[6.76738, 4.90194, 1.4637, -0.508675, 0.158416, -0.141864, 0.834284, 4.5415, 4.13605, -1.13253, -1.26815, 1.61459, 0.144903]","[0.26842235294117645, 0.2707482352941176, 0.2587847058823529, 0.2564223529411765]","[7.04903, 5.14751, 1.39778, -0.496037, 0.131783, -0.202907, 0.833912, 4.84515, 4.03471, -1.06565, -1.34823, 2.00911, 0.0678932]","[7.04635, 5.14489, 1.39922, -0.496037, 0.131783, -0.202907, 0.833912, 4.75656, 3.94866, -1.01841, -1.34823, 2.00911, 0.0678932]",2.7,0.06000000000000005
45,"[7.04635, 5.14489, 1.39922, -0.496037, 0.131783, -0.202907, 0.833912, 4.75656, 3.94866, -1.01841, -1.34823, 2.00911, 0.0678932]","[0.2764082352941177, 0.2784858823529412, 0.26789411764705884, 0.2659694117647059]","[7.34137, 5.37598, 1.34004, -0.476809, 0.0966033, -0.268003, 0.831562, 5.07309, 3.73871, -0.957838, -1.31237, 2.30628, -0.0034481]","[7.33858, 5.37337, 1.34148, -0.476809, 0.0966033, -0.268003, 0.831562, 4.98127, 3.65313, -0.910556, -1.31237, 2.30628, -0.0034481]",2.76,0.05999999999999961
